id,rouge_simple,bleu_simple,f1_simple,rouge_avance,bleu_avance,f1_avance,rouge_multi,bleu_multi,f1_multi,rouge_raft,bleu_raft,f1_raft
1,0.5382490160752631,0.42875739275518815,0.5411917139040475,0.5664561632402205,0.49106076285221806,0.5968654792056457,0.6563618694992636,0.5578123864323206,0.6548628300525027,0.7199671415301123,0.6465656870613854,0.718982933877706
2,0.5032512006149564,0.4301967231424546,0.5473309023999173,0.5795296748579933,0.513292788518158,0.5713591881780788,0.6594723347484825,0.5622151153500426,0.6460445648188581,0.7136173569882881,0.6398075331949836,0.7435227818450894
3,0.5101690772569148,0.4147996291763226,0.5634518947398093,0.5544692035918397,0.4876186671924776,0.6060419146640414,0.677685466714627,0.5484049753899095,0.6414119117944096,0.7214768853810068,0.6597137099889291,0.7248650277526206
4,0.5272027582605451,0.42848380545741505,0.531319178259957,0.5600850678010334,0.48886325586084145,0.5639722340581157,0.6691234194748216,0.5470569006387899,0.646101129318426,0.7302302985640802,0.6413796388671819,0.714422890710441
5,0.4965370352534907,0.4293960870994802,0.5236939575346377,0.5591183777030175,0.4838833112635075,0.593802856407004,0.6438435181356472,0.5771878873359129,0.6211491730247893,0.7126584662527666,0.6338154444799706,0.7332254491210318
6,0.5184118990190619,0.4142847287296045,0.5216572835556171,0.5430472757780181,0.45621843177051435,0.6178568343871497,0.6688890076327376,0.5853436004285623,0.6423639373459499,0.7126586304305081,0.6769847315338233,0.7127915635002897
7,0.5346071413142365,0.45298661766717135,0.5227628457255185,0.5694418041559686,0.48460229186826176,0.5701419551230397,0.6603790126350042,0.5639198481762949,0.649285350858141,0.7307921281550739,0.6516133554927019,0.7270886359500476
8,0.4908877514815816,0.4321074938136768,0.5338434743587884,0.5689158290826983,0.48590345314911537,0.5765055340559584,0.6568769359963286,0.5800529934683804,0.6627347285368982,0.722674347291529,0.6560129230703189,0.7054032987612022
9,0.5177695078779846,0.40713044754196026,0.5401172796222496,0.5650767018496369,0.5219486316872792,0.5864947704763146,0.6723401154660904,0.5704245403757144,0.6387807573807163,0.7103052561406504,0.6336287772067982,0.7117181395110157
10,0.5188982419137264,0.4348483041295074,0.5391503619899504,0.5614811929993727,0.4821145855282831,0.577447865188257,0.6773719942699514,0.555323203680923,0.6352980767652817,0.7204256004358596,0.6468342591321223,0.7269686123586913
11,0.5267273430766597,0.41037977494659017,0.5474077487355404,0.5437694388692438,0.48952321013500416,0.5617400485340079,0.6761753614293944,0.5704209340826262,0.6389789154769856,0.7103658230718753,0.656663838845648,0.7323846657999541
12,0.4964457393368288,0.4368062690561368,0.5351950283781687,0.5586903201585196,0.48447932345442135,0.5860284446220904,0.6549293897213284,0.5880705484969895,0.6559848254124249,0.7103427024642974,0.6377350963386654,0.7267136828118996
13,0.4951931508037359,0.44237893368511105,0.5568030111573598,0.5598592822520984,0.46746982943570703,0.5690654442941084,0.6612894514897855,0.5644626094133507,0.6489450133159163,0.7174196227156603,0.6606354702751851,0.7238435171761176
14,0.5228291234842535,0.41268976522472434,0.5310301475014307,0.5529658409616757,0.5021423422177252,0.5921038864595277,0.6689751611768429,0.58846965483721,0.6386428775547955,0.695867197553422,0.645990419651218,0.7219889630441071
15,0.5194547700984978,0.4394506419386648,0.5758025374988444,0.5625807143250098,0.4962789954903016,0.5712086364864929,0.6767065415254684,0.5257038234386537,0.6511592091973603,0.6977508216748697,0.6506245937531009,0.7102147800963257
